,real_price
35447,0.98
35448,0.44
35449,0.0
35450,0.0
35451,0.0
35452,0.0
35453,0.0
35454,0.49
35455,7.03
35456,9.65
35457,10.86
35458,27.89
35459,18.3
35460,14.4
35461,12.29
35462,14.38
35463,12.32
35464,23.01
35465,38.68
35466,26.02
35467,25.19
35468,25.85
35469,21.85
35470,16.87
35471,12.29
35472,17.03
35473,5.94
35474,14.35
35475,14.35
35476,14.35
35477,16.01
35478,20.28
35479,27.66
35480,33.4
35481,24.72
35482,25.64
35483,24.22
35484,23.54
35485,24.15
35486,19.48
35487,23.44
35488,24.78
35489,28.55
35490,25.58
35491,24.36
35492,23.7
35493,15.11
35494,9.42
35495,7.17
35496,7.19
35497,4.84
35498,4.87
35499,5.2
35500,0.89
35501,0.0
35502,0.95
35503,11.06
35504,9.09
35505,13.35
35506,13.37
35507,5.92
35508,5.93
35509,12.73
35510,7.23
35511,12.75
35512,13.68
35513,24.28
35514,21.08
35515,16.63
35516,13.62
35517,9.94
35518,4.8
35519,9.03
35520,10.9
35521,5.22
35522,5.76
35523,1.86
35524,0.0
35525,0.0
35526,2.64
35527,20.77
35528,23.77
35529,28.37
35530,27.38
35531,23.94
35532,15.09
35533,14.36
35534,14.77
35535,18.12
35536,22.89
35537,22.67
35538,18.7
35539,7.78
35540,3.42
35541,3.39
35542,1.92
35543,0.0
35544,0.0
35545,0.0
35546,0.0
35547,0.0
35548,0.0
35549,0.0
35550,0.47
35551,4.18
35552,5.94
35553,5.85
35554,6.03
35555,6.05
35556,5.92
35557,6.03
35558,5.97
35559,11.54
35560,9.8
35561,14.34
35562,8.36
35563,5.87
35564,1.3
35565,0.0
35566,5.46
35567,1.97
35568,0.0
35569,0.0
35570,0.0
35571,0.0
35572,0.0
35573,0.0
35574,0.17
35575,6.72
35576,13.36
35577,12.12
35578,17.12
35579,14.4
35580,13.55
35581,10.91
35582,8.94
35583,3.36
35584,8.91
35585,19.57
35586,16.44
35587,18.11
35588,10.9
35589,13.75
35590,10.24
35591,8.48
35592,5.92
35593,5.71
35594,6.08
35595,6.59
35596,11.53
35597,9.71
